id,currency_value_formatted,last_updated,currency_name,currency_value,currency_code
10291753,"83,811.50000002",2025-04-13 10:23:54.679607,Bitcoin,83811.500000020300000000,BTC
10291693,"83,802.22500011",2025-04-13 10:23:34.642484,Bitcoin,83802.225000114300000000,BTC
10291636,"83,768.84500005",2025-04-13 10:23:24.639178,Bitcoin,83768.845000048400000000,BTC
10291579,"83,776.73500009",2025-04-13 10:23:04.624770,Bitcoin,83776.735000085400000000,BTC
10291531,"83,768.25499991",2025-04-13 10:22:44.705645,Bitcoin,83768.254999906000000000,BTC
10291457,"83,754.33999975",2025-04-13 10:22:34.639370,Bitcoin,83754.339999748200000000,BTC
10291416,"83,755.29000031",2025-04-13 10:22:24.660318,Bitcoin,83755.290000312600000000,BTC
10291375,"83,754.05999975",2025-04-13 10:22:19.650841,Bitcoin,83754.059999750800000000,BTC
10291334,"83,755.29000031",2025-04-13 10:22:14.613568,Bitcoin,83755.290000312600000000,BTC
10291265,"83,754.05999975",2025-04-13 10:21:59.650287,Bitcoin,83754.059999750800000000,BTC
10291198,"83,748.17500008",2025-04-13 10:21:44.673205,Bitcoin,83748.175000084700000000,BTC
10291080,"83,801.39000019",2025-04-13 10:21:29.676360,Bitcoin,83801.390000192400000000,BTC
10291028,"83,755.07499970",2025-04-13 10:21:09.651194,Bitcoin,83755.074999704800000000,BTC
10290968,"83,761.84499997",2025-04-13 10:20:54.654036,Bitcoin,83761.844999966300000000,BTC
10290895,"83,757.34499996",2025-04-13 10:20:39.668967,Bitcoin,83757.344999955200000000,BTC
10290817,"83,749.04499973",2025-04-13 10:20:24.665189,Bitcoin,83749.044999726100000000,BTC
10290767,"83,737.87000008",2025-04-13 10:20:09.678169,Bitcoin,83737.870000081600000000,BTC
10290699,"83,746.62499974",2025-04-13 10:19:49.656270,Bitcoin,83746.624999738100000000,BTC
10290634,"83,735.03000022",2025-04-13 10:19:34.659577,Bitcoin,83735.030000217400000000,BTC
10290567,"83,774.96499996",2025-04-13 10:19:19.655476,Bitcoin,83774.964999961300000000,BTC
10290484,"83,776.26499979",2025-04-13 10:19:09.659985,Bitcoin,83776.264999785500000000,BTC
