Date,Price,Open,High,Low,Vol.,Change %
2016-09-23,18261.45,18377.36,18383.76,18254.84,87.18,-0.71
2016-09-26,18094.83,18217.76,18217.76,18083.32,95.51,-0.91
2016-09-27,18228.3,18099.21,18238.1,18052.16,84.13,0.74
2016-09-28,18339.24,18240.22,18349.86,18179.34,97.65,0.61
2016-09-29,18143.45,18322.88,18366.23,18091.64,95.88,-1.07
2016-09-30,18308.15,18181.8,18369.62,18181.8,135.47,0.91
2016-10-03,18253.85,18279.6,18279.8,18203.75,68.52,-0.3
2016-10-04,18168.45,18267.68,18313.77,18116.26,79.71,-0.47
2016-10-05,18281.03,18205.5,18315.82,18205.5,76.19,0.62
2016-10-06,18268.5,18280.42,18288.12,18162.97,78.66,-0.07
2016-10-07,18240.49,18295.35,18319.73,18149.35,82.68,-0.15
2016-10-10,18329.04,18282.95,18399.96,18282.95,72.11,0.49
2016-10-11,18128.66,18308.43,18312.33,18061.96,88.61,-1.09
2016-10-12,18144.2,18132.63,18193.96,18082.09,72.23,0.09
2016-10-13,18098.94,18088.32,18137.7,17959.95,83.16,-0.25
2016-10-14,18138.38,18177.35,18261.11,18138.38,87.05,0.22
2016-10-17,18086.4,18135.85,18162.28,18063.02,75.96,-0.29
2016-10-18,18161.94,18145.06,18225.8,18129.45,74.8,0.42
2016-10-19,18202.62,18178.21,18252.2,18169.25,88.04,0.22
2016-10-20,18162.35,18161.87,18249.05,18129.07,88.83,-0.22
2016-10-21,18145.71,18152.63,18168.76,18049.77,117.82,-0.09
2016-10-24,18223.03,18197.14,18275.04,18191.18,88.55,0.43
2016-10-25,18169.27,18206.52,18241.69,18151.7,83.19,-0.3
2016-10-26,18199.33,18103.8,18236.04,18062.3,86.34,0.17
2016-10-27,18169.68,18234.81,18253.2,18149.2,83.53,-0.16
2016-10-28,18161.19,18193.79,18257.06,18094.97,107.85,-0.05
2016-10-31,18142.42,18176.6,18193.68,18130.58,110.08,-0.1
2016-11-01,18037.1,18158.24,18177.01,17940.84,101.28,-0.58
2016-11-02,17959.64,18017.72,18044.15,17931.89,88.61,-0.43
2016-11-03,17930.67,17978.75,18006.96,17904.07,77.86,-0.16
2016-11-04,17888.28,17928.35,17986.76,17883.56,97.76,-0.24
2016-11-07,18259.6,17994.64,18263.3,17994.64,93.45,2.08
2016-11-08,18332.74,18251.38,18400.5,18200.75,79.82,0.4
2016-11-09,18589.69,18317.26,18650.06,18252.55,173.11,1.4
2016-11-10,18807.88,18603.14,18873.66,18603.14,164.39,1.17
2016-11-11,18847.66,18781.65,18855.78,18736.96,107.3,0.21
2016-11-14,18868.69,18876.77,18934.05,18815.75,112.25,0.11
2016-11-15,18923.06,18858.21,18925.26,18806.06,100.66,0.29
2016-11-16,18868.14,18909.85,18909.85,18825.89,87.32,-0.29
2016-11-17,18903.82,18866.22,18904.03,18845.27,89.94,0.19
2016-11-18,18867.93,18905.33,18915.74,18853.83,109.88,-0.19
2016-11-21,18956.69,18898.68,18960.76,18883.1,80.52,0.47
2016-11-22,19023.87,18970.39,19043.9,18962.82,85.31,0.35
2016-11-23,19083.18,19015.52,19083.76,19000.38,77.88,0.31
2016-11-25,19152.14,19093.72,19152.14,19093.72,45.89,0.36
2016-11-28,19097.9,19122.14,19138.72,19072.25,88.46,-0.28
2016-11-29,19121.6,19064.07,19144.4,19062.22,81.51,0.12
2016-11-30,19123.58,19135.64,19225.29,19123.38,164.57,0.01
2016-12-01,19191.93,19149.2,19214.3,19138.79,108.8,0.36
2016-12-02,19170.42,19161.25,19196.14,19141.18,84.92,-0.11
2016-12-05,19216.24,19244.35,19274.85,19186.73,317.8,0.24
2016-12-06,19251.78,19219.91,19255.89,19184.74,284.96,0.18
2016-12-07,19549.62,19241.99,19558.42,19229.83,385.2,1.55
2016-12-08,19614.81,19559.94,19664.97,19527.83,324.57,0.33
2016-12-09,19756.85,19631.35,19757.74,19623.19,334.47,0.72
2016-12-12,19796.43,19770.2,19824.59,19747.74,333.66,0.2
2016-12-13,19911.21,19852.21,19953.75,19846.45,388.42,0.58
2016-12-14,19792.53,19876.13,19966.43,19748.67,408.43,-0.6
2016-12-15,19852.24,19811.5,19951.29,19811.5,357.35,0.3
2016-12-16,19843.41,19909.01,19923.17,19821.0,573.47,-0.04
2016-12-19,19883.06,19836.66,19917.78,19832.95,302.31,0.2
2016-12-20,19974.62,19920.59,19987.63,19920.42,284.08,0.46
2016-12-21,19941.96,19968.97,19986.56,19941.96,256.64,-0.16
2016-12-22,19918.88,19922.68,19933.83,19882.19,258.29,-0.12
2016-12-23,19933.81,19908.61,19934.15,19899.06,158.26,0.07
2016-12-27,19945.04,19943.46,19980.24,19939.8,158.54,0.06
2016-12-28,19833.68,19964.31,19981.11,19827.31,188.35,-0.56
2016-12-29,19819.78,19835.46,19878.44,19788.94,172.04,-0.07
2016-12-30,19762.6,19833.17,19852.55,19718.67,271.91,-0.29
2017-01-03,19881.76,19872.86,19938.53,19775.93,339.18,0.6
2017-01-04,19942.16,19890.94,19956.14,19878.83,280.01,0.3
2017-01-05,19899.29,19924.56,19948.6,19811.12,269.92,-0.21
2017-01-06,19963.8,19906.96,19999.63,19834.08,277.7,0.32
2017-01-09,19887.38,19931.41,19943.78,19887.38,287.5,-0.38
2017-01-10,19855.53,19876.35,19957.12,19836.03,299.41,-0.16
2017-01-11,19954.28,19887.38,19973.42,19833.16,336.15,0.5
2017-01-12,19891.0,19926.21,19929.29,19770.47,306.29,-0.32
2017-01-13,19885.73,19912.54,19952.03,19849.38,263.78,-0.03
2017-01-17,19826.77,19848.82,19882.99,19775.35,341.9,-0.3
2017-01-18,19804.72,19822.73,19828.2,19739.0,279.76,-0.11
2017-01-19,19732.4,19813.55,19824.14,19677.94,301.75,-0.37
2017-01-20,19827.25,19795.06,19843.94,19759.14,435.26,0.48
2017-01-23,19799.85,19794.79,19833.98,19732.36,326.69,-0.14
2017-01-24,19912.71,19794.68,19949.24,19786.71,374.46,0.57
2017-01-25,20068.51,19994.48,20082.0,19994.48,372.24,0.78
2017-01-26,20100.91,20076.25,20125.58,20067.53,356.73,0.16
2017-01-27,20093.78,20103.36,20115.97,20072.64,343.13,-0.04
2017-01-30,19971.13,20028.62,20028.62,19870.39,317.28,-0.61
2017-01-31,19864.09,19913.16,19918.17,19784.77,373.75,-0.54
2017-02-01,19890.94,19923.81,19967.73,19845.99,426.67,0.14
2017-02-02,19884.91,19858.34,19922.75,19831.09,347.22,-0.03
2017-02-03,20071.46,19964.21,20081.48,19964.21,344.22,0.94
2017-02-06,20052.42,20025.61,20094.95,20002.81,281.72,-0.09
2017-02-07,20090.29,20107.62,20155.35,20068.68,279.67,0.19
2017-02-08,20054.34,20049.29,20068.28,20015.33,280.41,-0.18
2017-02-09,20172.4,20061.73,20206.36,20061.73,325.31,0.59
2017-02-10,20269.37,20211.23,20298.21,20204.76,312.23,0.48
2017-02-13,20412.16,20338.54,20441.48,20322.95,314.62,0.7
2017-02-14,20504.41,20374.22,20504.41,20374.02,356.58,0.45
2017-02-15,20611.86,20504.27,20620.45,20496.03,384.38,0.52
2017-02-16,20619.77,20627.31,20639.87,20556.83,354.12,0.04
2017-02-17,20624.05,20564.13,20624.05,20532.61,340.62,0.02
2017-02-21,20743.0,20663.43,20757.64,20663.37,336.88,0.58
2017-02-22,20775.6,20715.41,20781.59,20692.39,310.53,0.16
2017-02-23,20810.32,20817.21,20840.7,20746.41,302.11,0.17
2017-02-24,20821.76,20751.91,20821.76,20733.95,292.54,0.05
2017-02-27,20837.44,20808.71,20851.33,20774.76,256.54,0.08
2017-02-28,20812.24,20833.88,20841.24,20781.21,339.21,-0.12
2017-03-01,21115.55,20957.29,21169.11,20957.29,392.82,1.46
2017-03-02,21002.97,21128.91,21129.2,20996.61,319.91,-0.53
2017-03-03,21005.71,21008.75,21039.96,20953.86,254.42,0.01
2017-03-06,20954.34,20955.71,20986.43,20912.11,266.62,-0.24
2017-03-07,20924.76,20934.89,20970.54,20901.26,274.63,-0.14
2017-03-08,20855.73,20940.44,20951.44,20835.58,296.78,-0.33
2017-03-09,20858.19,20864.32,20900.57,20777.16,275.96,0.01
2017-03-10,20902.98,20919.01,20940.29,20827.66,315.43,0.21
2017-03-13,20881.48,20899.28,20926.06,20845.71,289.26,-0.1
2017-03-14,20837.37,20848.6,20874.0,20786.31,246.82,-0.21
2017-03-15,20950.1,20874.78,20977.47,20859.6,306.59,0.54
2017-03-16,20934.55,20969.27,21000.11,20893.5,264.36,-0.07
2017-03-17,20914.62,20965.37,20980.51,20911.07,535.28,-0.1
2017-03-20,20905.86,20916.27,20955.45,20885.7,253.61,-0.04
2017-03-21,20668.01,20956.33,20970.04,20653.26,369.32,-1.14
2017-03-22,20661.3,20640.42,20686.21,20578.95,325.09,-0.03
2017-03-23,20656.58,20645.07,20757.89,20618.62,280.05,-0.02
2017-03-24,20596.72,20674.45,20718.33,20529.67,292.98,-0.29
2017-03-27,20550.98,20488.35,20578.46,20412.8,269.38,-0.22
2017-03-28,20701.5,20542.14,20735.61,20520.1,299.67,0.73
2017-03-29,20659.32,20675.75,20684.73,20625.03,238.32,-0.2
2017-03-30,20728.49,20662.79,20753.78,20643.6,270.9,0.33
2017-03-31,20663.22,20700.34,20722.59,20660.68,303.77,-0.31
2017-04-03,20650.21,20665.17,20692.34,20517.82,285.68,-0.06
2017-04-04,20689.24,20634.94,20701.29,20605.3,237.39,0.19
2017-04-05,20648.15,20745.06,20887.5,20639.55,284.98,-0.2
2017-04-06,20662.95,20653.77,20746.46,20612.17,251.72,0.07
2017-04-07,20656.1,20647.81,20726.07,20606.95,219.73,-0.03
2017-04-10,20658.02,20668.22,20750.33,20614.86,230.48,0.01
2017-04-11,20651.3,20644.32,20660.03,20512.56,255.12,-0.03
2017-04-12,20591.86,20637.95,20642.54,20553.03,267.67,-0.29
2017-04-13,20453.25,20561.69,20612.27,20453.25,235.81,-0.67
2017-04-17,20636.92,20484.75,20644.41,20484.75,229.24,0.9
2017-04-18,20523.28,20561.39,20600.12,20462.28,263.18,-0.55
2017-04-19,20404.49,20503.52,20546.69,20379.55,294.79,-0.58
2017-04-20,20578.71,20406.68,20629.78,20406.68,312.44,0.85
2017-04-21,20547.76,20578.1,20601.4,20505.33,369.6,-0.15
2017-04-24,20763.89,20723.59,20792.2,20723.59,342.4,1.05
2017-04-25,20996.12,20915.51,21026.97,20909.38,348.18,1.12
2017-04-26,20975.09,21009.95,21070.9,20972.27,328.55,-0.1
2017-04-27,20981.33,20991.12,21005.8,20935.8,305.69,0.03
2017-04-28,20940.51,20987.39,20987.76,20926.75,329.99,-0.19
2017-05-01,20913.46,20962.73,20976.62,20898.38,288.16,-0.13
2017-05-02,20949.89,20941.19,20960.92,20904.06,338.81,0.17
